id,name,state,cases,deaths,cases per population
01055,Ostholstein,Schleswig-Holstein,12,0,0.00598262048748386
01057,Plön,Schleswig-Holstein,12,0,0.00932785063001858
01061,Steinburg,Schleswig-Holstein,12,0,0.00913610512611632
03155,Northeim,Niedersachsen,12,0,0.00903852672014462
05974,Soest,Nordrhein-Westfalen,12,0,0.00397479976946161
09577,Weißenburg-Gunzenhausen,Bayern,12,0,0.0127128070937464
09673,Rhön-Grabfeld,Bayern,12,0,0.0150583511105534
09774,Günzburg,Bayern,12,0,0.00954297120408439
12069,Potsdam-Mittelmark,Brandenburg,12,0,0.00559013155442925
14626,Görlitz,Sachsen,12,0,0.00470783933713622
15085,Harz,Sachsen-Anhalt,12,0,0.0055958143308805
03457,Leer,Niedersachsen,11,0,0.00647786630861733
05119,Oberhausen,Nordrhein-Westfalen,11,0,0.005217498541472
05711,Bielefeld,Nordrhein-Westfalen,11,0,0.00329552467748797
05914,Hagen,Nordrhein-Westfalen,11,0,0.00582583918565361
05954,Ennepe-Ruhr-Kreis,Nordrhein-Westfalen,11,0,0.0033919628980931
07211,Trier,Rheinland-Pfalz,11,0,0.00994251419067935
07311,Frankenthal (Pfalz),Rheinland-Pfalz,11,0,0.0226519223244991
07340,Südwestpfalz,Rheinland-Pfalz,11,0,0.0115651908782185
15091,Wittenberg,Sachsen-Anhalt,11,0,0.00874125874125874
16065,Kyffhäuserkreis,Thüringen,11,0,0.0146649068778413
07316,Neustadt an der Weinstraße,Rheinland-Pfalz,10,0,0.0188153834575149
08325,Rottweil,Baden-Württemberg,10,1,0.00717077193359865
09464,Hof,Bayern,10,0,0.0217722621380361
09679,Würzburg,Bayern,10,3,0.00617917124955201
09779,Donau-Ries,Bayern,10,0,0.00749086114939773
12063,Havelland,Brandenburg,10,0,0.00617630891426666
16055,Weimar,Thüringen,10,0,0.0153633430634506
05122,Solingen,Nordrhein-Westfalen,9,0,0.00564759036144578
05512,Bottrop,Nordrhein-Westfalen,9,0,0.00766720905071433
05966,Olpe,Nordrhein-Westfalen,9,0,0.00667779632721202
07338,Rhein-Pfalz-Kreis,Rheinland-Pfalz,9,0,0.00583653802504523
09575,Neustadt a.d. Aisch-Bad Windsheim,Bayern,9,0,0.00896735881391734
14730,Nordsachsen,Sachsen,9,0,0.00455297385075352
15082,Anhalt-Bitterfeld,Sachsen-Anhalt,9,0,0.00563013750046918
15090,Stendal,Sachsen-Anhalt,9,0,0.0080370059473844
16071,Weimarer Land,Thüringen,9,0,0.0109827083358756
09163,Rosenheim,Bayern,8,0,0.0126334407175794
09565,Schwabach,Bayern,8,0,0.0196116885663856
09773,Dillingen a.d. Donau,Bayern,8,1,0.00833151081534248
12062,Elbe-Elster,Brandenburg,8,0,0.00779438414622265
01004,Neumünster,Schleswig-Holstein,7,0,0.00880647149848403
